category,工廠地址,工廠位置,公司名稱,主要出口市場,主要產品,地址,年營收,成立年份,品牌,員工,員工人數,註冊地址,郵遞區號,業務類型,資本額,電話號碼(1),電話號碼(2)
機械,,台灣,鳳記國際機械股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他",Manufacture of wide variety of extrusion processing machinery,,,1953,FKI,, 101 -  200,臺南市永康區正北一路168號,710,"出口商,進口商,製造商"," 新台幣 50,000,001 -  100,000,000",-2531277,--
燈光及照明,,,凱穎國際有限公司,"南非,美國,哥斯大黎加,多明尼克島,瓜地馬拉,宏都拉斯,墨西哥,尼加拉瓜,巴拿馬,薩爾瓦多,阿根廷,智利,哥倫比亞,秘魯,澳大利亞,紐西蘭,印尼,馬來西亞,新加坡,泰國,越南,以色列,阿曼,土耳其,比利時,瑞士,德國,丹麥,西班牙,法國,英國,希臘,匈牙利,挪威,波蘭,羅馬尼亞,瑞典,加拿大,波多黎各,厄瓜多爾,菲律賓群島,沙烏地阿拉伯,捷克,芬蘭","LED Panel, LED Tube, LED Street Light, LED flooding Light, LED downlight, LED Bulb,
                              LED office light, LED High Bay, LED High Mast, LED Desk light",,"USD 5,000,001 -  10,000,000",,,,,台南市南區金華路一段484巷183弄17號,702,"出口商,製造商,原始設備制造商,原始設計制造商",,-2654195,2655075
機械零件,,台灣,嘉泰鋼模工業股份有限公司,"美國,墨西哥,日本,馬來西亞,新加坡,泰國,台灣,俄羅斯聯邦","plastic injection mold , tooling parts",,,1990,,,,台南市安南區總安街二段7巷17號,709,"出口商,製造商,原始設備制造商,原始設計制造商",,-3555686,-3555686
機械,,,益芳封口機有限公司,"其他,南非,美國,哥斯大黎加,墨西哥,尼加拉瓜,巴拿馬,智利,哥倫比亞,秘魯,澳大利亞,紐西蘭,中國大陸,印度,日本,南韓,馬來西亞,新加坡,泰國,以色列,英國,荷蘭,加拿大,菲律賓群島,義大利","Table Type Sealing Machine, Automatic, Rotary Sealing Machine, Piston Type Filling,
                              Form Fill Pack Sealing Machine, Syrup Filler, M.A.P Packaging, Fully Production Lines,
                              Sealing Films/ Containers/ Bags, Vacuum & Skin Packing Machine.",,,1985,益芳,,,高雄市彌陀區文安北路10號,827,"出口商,製造商,原始設計制造商",,-6196720,--
機械零件,,,麗聯實業有限公司,,"Diamond & CBN Resin bonded wheel  ,  Diamond & CBN Metal bonded wheel   ,  Diamond
                              & CBN Electroplated wheels  ,  Diamond & CBN Vitrified bonded wheel  ,  Polished Diamond
                              CBN Series  ,   Diamond & CBN Tools",,,1990,麗聯,,,苗栗縣苗栗市玉華里玉清路221號,360,"出口商,進口商,製造商,原始設備制造商,其他",,+886-37-351168 EXT 12,
服飾及配件,,,司諾比國際股份有限公司,"亞洲,歐洲,北美洲,美國,澳大利亞,紐西蘭,中國大陸,印度,日本,南韓,新加坡,越南,英國,加拿大",FISHING、GOLF、HORSE RIDING,,"USD 1,000,001 -  5,000,000",1978,Snowbee,,,台南市中西區金華路3段176號7樓,700,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,貿易商",,+886-6-2293151 EXT 561,+886-6-2293151 EXT 566
機械,,,全能水工實業有限公司,"亞洲,歐洲,北美洲,中美洲,大洋洲,哥斯大黎加,中國大陸,印尼,馬來西亞,泰國,台灣,越南","Rotary Blowers, Fine Bubble DiSilent Rotary Vane Blower, Fine Bubble Diffuser, Low
                              Temperature Air Cooler, Suspended Solid Skimmer",,,1992,DISO,,,台北市雙連街41號1樓,103,"出口商,進口商,製造商,原始設備制造商,代理商"," 新台幣 1,000,001 -  5,000,000",-25571099,--
農產及食品,,,世葳科技有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲","Portable Water Purifier, Health CGF Algae Extract Powder, Pressurized Cylinder",,,2015,速益發 / 普洛,,,台中市潭子區雅豐街76巷73號3樓,427,"出口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,經銷商",,-25321013,--
機械,,台灣,長瑜企業股份有限公司,"南非,美國,哥斯大黎加,墨西哥,巴拿馬,阿根廷,智利,哥倫比亞,秘魯,澳大利亞,紐西蘭,香港,印度,日本,南韓,馬來西亞,巴基斯坦,新加坡,泰國,阿拉伯聯合大公國,巴林,以色列,伊拉克,伊朗,科威特,土耳其,比利時,瑞士,德國,丹麥,西班牙,法國,英國,希臘,匈牙利,荷蘭,波蘭,葡萄牙,俄羅斯聯邦,瑞典,斯洛法尼亞,阿爾及利亞,加拿大,波多黎各,巴西,沙烏地阿拉伯,捷克,芬蘭,義大利","Household overlock sewing machine, Household sewing machine",,,,瑪麗克,, 51 -  100,臺中市大里區國光路一段125巷11號2樓,412,製造商," 新台幣 10,000,001 -  50,000,000",-24073187,--
電機及電子,,,博詳科技股份有限公司,"南美洲,大洋洲,美國,智利,澳大利亞,奧地利,德國,西班牙,法國,英國,俄羅斯聯邦,加拿大,巴西,沙烏地阿拉伯,義大利","Intelligence Surveillance System, IO Manager, SMART Touch TV Surveillance System,Wireless
                              Flashcam Video Record System,Electronic Wire Stun Gun,O3Air & Water Purifier",新北市三重區大仁街48巷22號,,2001,PSL,, 51 -  100,,241,"出口商,製造商,原始設備制造商,原始設計制造商"," 新台幣 10,000,001 -  50,000,000",-89881283,29719682
電機及電子,,,宬科技開發有限公司,"亞洲,中東,歐洲,北美洲,中美洲,南美洲,大洋洲","Buzzer, PCB Terminal Blocks, Foot Switch, Piezo Siren, LED Lighting, Limit Switches
                              for Elevator",新北市新莊區化成路398巷17號,,2006,,,,,242,"出口商,製造商,原始設備制造商",,-22795339,-22795345
家庭用品,,台灣,台辰企業有限公司,"美國,中國大陸,日本,台灣,阿拉伯聯合大公國,德國,丹麥,法國,英國,荷蘭,俄羅斯聯邦,加拿大,沙烏地阿拉伯","Kitchenknife,kitchenware,tableware.stainless steel scissors,houseware.",,"USD 500,001 -  1,000,000",1977,台辰,,,臺中市外埔區外埔路830號,438,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,貿易組織"," 新台幣 1,000,001 -  5,000,000",-26835090,-26835089
紡織及皮革,,,鴻琦國際有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,大洋洲,其他","running dye, weaving, ,coating",,,,,,,新北市土城區中央路4段37巷4號,236,"出口商,製造商,原始設備制造商",,-22676144,
機械,台灣,,得雲精密工業有限公司,,"chiller,water cooler,oil cooler",大里區中興路一段26巷11-6號,,2000,DERYUN,,,,412,"出口商
																			,
																		製造商",,-24929034,
農產及食品,,,峰茂國際有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲","IP Camera, IP Surveillance Accessoreis And Software  Packages, After-market auto parts
                              & Accessories, Taiwan Tea, Hygienic goods, Dental implement, Medical disposable goods,
                              Aquarium goods, Sterilized acupuncture needles, Home fragrance, Eco house ware",彰化縣員林鎮成功路一巷13號4樓,,2011,,,,,510,"出口商,製造商,原始設備制造商,原始設計制造商,代理商",,-8350935,-8345835
機械,,,耐金屬股份有限公司,"美國,中國大陸,日本,馬來西亞","Powder metallurgy, Bearing, Automobiles Parts, Motorcycle Parts, Woodworking Equipment,
                              tools parts, gears, sprocket wheel, bushings",,,,,,,苗栗縣竹南鎮公義路98巷100號,350,製造商,,+886-37-639877 EXT 12,+886-37-639878 EXT 12
機械,,台灣,維多利產業有限公司,"亞洲,歐洲,北美洲,大洋洲","Draft Beer Equipment, Faucet, Giftware",新北市汐止區福德一路392巷22弄2號,"USD 1,000,001 -  5,000,000",1995,VTR,,,,221,"出口商,製造商,原始設備制造商,原始設計制造商,貿易商",,-86930157,
機械,,,開拓冷凍工業股份有限公司,"其他亞洲國家,孟加拉,中國大陸,印尼,日本,緬甸,馬來西亞,巴基斯坦,泰國,越南,斯里蘭卡,菲律賓群島","Flake Ice Maker, Film Ice Maker, Falling Film Chiller, IQF, Contact Freezer, Air Blast
                              Freezer, Cold Room",高雄市大發工業區裕民街35號,"USD 10,000,001 -  50,000,000",1976,開拓,,,,83110,"出口商,進口商,製造商,原始設備制造商"," 新台幣 10,000,001 -  50,000,000",-7872798,-7872798
醫療及保健,台灣,,瑞寶基因股份有限公司,"台灣
																			,
																		越南
																			,
																		俄羅斯聯邦
																			,
																		菲律賓群島",PRRSFREETM PRRS SUBUNIT VACCINE,台北市大安區仁愛路四段25之1號3樓,"USD  1,000,001 -   5,000,000",2008,PRRSFREETM,,,,10685,"出口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商",,+886-2-27313191 EXT 424,
醫療及保健,,台灣,榮曜國際有限公司,"南非,美國,澳大利亞,日本,北韓,馬來西亞,新加坡,阿拉伯聯合大公國,以色列,土耳其,比利時,德國,丹麥,西班牙,英國,希臘,加拿大,巴西,厄瓜多爾,菲律賓群島,沙烏地阿拉伯","Rehabiliation Exercisers, Fitness Bicycle, Treadmills, Fitness Goods, Healthcare,
                              Physiotherapy Equipments",,,1999,"SPIRT, CURAMOTION",,,臺中市北屯區崇武街78號,40673,"出口商,進口商,製造商,原始設備制造商,原始設計制造商",,-24211903,--
機械零件,,,全球傳動科技股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","Ball Screw , Linear Guied, Ball Spline",,"USD 500,001 -  1,000,000",1986,,,,新北市土城區中山路91號,26,"出口商,進口商,製造商",,+886-2-26892689 EXT 1803,--
家庭用品,,,富埜實業有限公司,"亞洲,歐洲,北美洲,大洋洲","Plastic household products, 
                              canvas bag, 
                              gift and Premiums",,,2014,,,,,,"出口商,製造商,原始設備制造商,原始設計制造商,批發商,貿易商",,-3155622,--
機械,,台灣,銓欣實業有限公司,,"Automobile and Motorcycle parts
                              Bicycle parts 
                              Motor parts
                              Heat sink
                              Monitor Housing
                              Metal accessories",,,2014,,,,桃園市中壢區民權路200號,320,"出口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,貿易商,服務公司,零售商",,-4667298,-55735681
服飾及配件,,台灣,馨洋行有限公司,"美國,中國大陸,香港,日本,南韓,西班牙,英國,希臘,葡萄牙,沙烏地阿拉伯,捷克","Sandwich Foam Cup, Breast Enhancer, Air Pad, Jel Pad, Bra Pads for Underwear or Brassieres,
                              Liquid Pad, Jelly Pad, Silicone Pad, Cream Pad, Perfume Pad,Accessory",,USD ,1982,"施媚香波, 馨洋行,波波小姐",, 51 -  100,台北市金華街26號5樓,10,"出口商,進口商,製造商,原始設備制造商,原始設計制造商"," 新台幣 1,000,001 -  5,000,000",-23936741,2-23937625
農產及食品,,,綠色冀泉股份有限公司,,牛樟葉茶、牛樟原木鉛筆、手工紙、牛樟景觀盆栽、植栽APP、牛樟葉燒 tea,新北市八里區中華路2段338號3樓,,2015,綠色冀泉,,,,249,"服務公司
																			,
																		其他",,-26194373,-26194373
機械,,,貫煜工業股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他,日本,台灣","automobile parts,motorcycle parts,gear,precision gear,engine parts,wheel cover,couping
                              parts,slide blocks,自動車部品,スライド,shafts,軸,バイク用精密ギア,ギア,連接棒,エンジン　パツ,",,,,,,,臺中市霧峰區霧工6路3-1號,413,"出口商,製造商,原始設備制造商,原始設計制造商",,-23330816,----
美容及個人用品,,,西苓國際企業有限公司,"亞洲,中東,中國大陸,馬來西亞,新加坡,台灣,越南","Hair & Scalp Treatments, Shampoo & Conditioners,
                              Skin Cares, Facial Mask.",,USD ,,,,,高雄市鼓山區華榮路53號,804,"出口商,製造商,原始設備制造商,代理商",,-5543690,--
汽機車,,台灣,卜億科技有限公司,"亞洲,北美洲,中美洲,南美洲,日本","Tire Changer,Wheel Balancer,Car&Motor Repair EquipMent",,,,Win Series(贏家),,,臺中市潭子區東寶村民族路一段312巷95號,427,"出口商,製造商,原始設備制造商",,-25343908,--
電腦,,台灣,宥榮企業有限公司,"美國,墨西哥,智利,澳大利亞,印尼,印度,日本,南韓,馬來西亞,尼泊爾,巴基斯坦,新加坡,台灣,越南,以色列,伊朗,黎巴嫩,比利時,保加利亞,瑞士,德國,西班牙,法羅群島,法國,*法國，大都市的,英國,荷蘭,波蘭,俄羅斯聯邦,斯洛伐克共和國,加拿大,巴西,沙烏地阿拉伯,捷克,義大利,立陶宛","Barcode Reader, data collector",,,1995,,,,新北市汐止區大同路一段183號7樓(經緯中心B棟),221,"出口商,製造商,原始設備制造商,原始設計制造商"," 新台幣 1,000,001 -  5,000,000",-26476913,--
電機及電子,,,宇宙康科技有限公司,"格陵蘭,瓜達康納爾島,聖匹及密啟倫群島,聖赫勒拿島,美國,其他北美洲國家,安圭拉島,荷屬西印度群島,巴貝多,百慕達群島,貝里斯,哥斯大黎加,多明尼克島,多明尼加,瓜地馬拉,宏都拉斯,海地,牙買加,聖克里斯多福及尼維斯,開曼群島,聖露西亞,蒙特色納島,墨西哥,尼加拉瓜,巴拿馬,薩爾瓦多,千理達和托貝哥共和國,聖文森,英屬維爾京群島,美屬維爾京群島,納維斯,未列名法屬中美洲領域,未列名英屬中美洲領域,阿根廷,亞魯伯,玻利維亞,智利,哥倫比亞,福克蘭群島,法屬圭亞那,*喬治亞州,蓋亞那,秘魯,巴拉圭,烏拉圭,委內瑞拉,新加坡,土耳其,安道爾,亞美尼亞,奧地利,波士尼亞-赫塞哥維那,比利時,保加利亞,白俄羅斯,瑞士,德國,丹麥,愛沙尼亞,西班牙,法羅群島,法國,*法國，大都市的,英國,喬治亞,希臘,克羅埃西亞,匈牙利,愛爾蘭,冰島,吉爾吉斯共和國,哈薩克,列支敦斯登,盧森堡,拉脫維亞,摩洛哥,摩爾多瓦共和國,馬爾他,荷蘭,挪威,波蘭,葡萄牙,羅馬尼亞,俄羅斯聯邦,瑞典,斯洛法尼亞,斯洛伐克共和國,聖馬利諾,塔吉克共和國,土庫曼,烏克蘭,烏茲別克斯坦,梵蒂岡,其他歐洲國家,塞爾維亞與蒙特內哥羅,加拿大,赫德及麥當勞群島,安提瓜和巴爾布達,巴哈馬群島,古巴,格瑞那達,聖馬丁節,波多黎各,土克斯和開卡斯群島,其他中美洲國家,未列名美屬中美洲領域,巴西,厄瓜多爾,蘇利南,其他南美洲國家,阿爾巴尼亞,亞塞拜然共和國,捷克,芬蘭,直布羅陀海峽,義大利,立陶宛,馬其頓","Li Ion Battery, Li Polymer Battery, NiMH Battery, NiMH Battery Pack, 18650/26650 Li
                              Ion Battery, Cylindrical Li Ion Battery",,USD ,2007,,,,桃園市桃園區龍安街96號8樓之1,33057,"出口商,進口商,製造商,原始設備制造商,原始設計制造商"," 新台幣 1,000,001 -  5,000,000",+886-3-3698818 EXT 0,
機械,,台灣,歐亞新有限公司,"歐洲,北美洲",#NAME?,,,2010,,,,高雄市前金區河東路8號17樓之4,801,"出口商,製造商,原始設計制造商,經銷商",,-2692678,
機械,,台灣,神電電機股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,大洋洲,突尼西亞,美國,巴拿馬,紐西蘭,中國大陸,馬來西亞,巴基斯坦,新加坡,泰國,台灣,科威特,加拿大,菲律賓群島,賽普勒斯","Magnetic Starter, Magnetic Contactor, Thermal Overload Relays, Relay, Manual Motor
                              Starter, Motor Starter, Switches, Switch, Push button",,,1973,神電 SDE,,,新北市中和區建一路100號2樓,23585,"出口商,進口商,製造商,原始設備制造商,批發商,經銷商,貿易商,服務公司,貿易組織,零售商"," 新台幣 10,000,001 -  50,000,000",-22213197,-22213198
電機及電子,,台灣,日旺有限公司,"亞洲,中東,非洲,南美洲,大洋洲,美國,日本","Inductive Voltage Regulator, Military/Ground Power Unit, Contactless IVR, AVR, 400Hz
                              Solid State (FIXED) Voltage/Frequency Converter, UPS, Inverter,Transformer, AC Source,
                              Solar System (Package), Low Frequency UPS, CVCF, Voltage Stabilizer & Regulator",,,2012,,,,新北市汐止區福德一路168號6樓,221,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,經銷商",,-26932036,--
農產及食品,,,淡然有味茶文化會館有限公司,"亞洲
																			,
																		其他亞洲國家
																			,
																		中國大陸
																			,
																		香港
																			,
																		日本
																			,
																		南韓
																			,
																		澳門
																			,
																		馬來西亞
																			,
																		新加坡
																			,
																		台灣","tea, tea bags,tea set,Gift items, gift,present,taiwan oolong ,black tea, green tea,taiwan tea,nougat,taiwan oolong tea,high mountain tea,tie guan yin,donging oolong,Alishan oolong,tea ware,tea gift",台北市萬華區成都路四號五樓,,2007,淡然有味茶文化有限公司,,,,108,"出口商
																			,
																		批發商
																			,
																		經銷商
																			,
																		服務公司",,-87909974,--
電機及電子,台灣,,輝隆機械有限公司,"美國
																			,
																		中國大陸
																			,
																		香港
																			,
																		印尼
																			,
																		日本
																			,
																		馬來西亞
																			,
																		新加坡
																			,
																		泰國
																			,
																		台灣
																			,
																		越南","Autocratic AC, DC plugs, transformation plugs, computer, continuous terminals, CNC lathes computer, automatic lathes, presses processing, plastic molding, die manufacturing, CNC wire cutting copper wires, low toxicity PVC plastic tablets, NO-UL / UL outside is expected, PS / ABS non-shifting material, wire / was expected, NO-UL / UL plug material, transparent material / silver material, design and product development, plastic injection products and other services.","No.21, Aly. 37, Ln. 392, Fude 1st Rd., Xizhi Dist., New Taipei City 221, Taiwan (R.O.C.)",,1973,隆机械有限公司,,,,221,"製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商",,+886-2-26947511 EXT 19,+886-2-26947511 EXT 12
工具,,,友詮興業有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","Air impact wrench,air sander,air ratchet wrench,air drill,air die grinder,air grease
                              gun,carton stapler,hot stapler,hydraulic hose,grease hose,high/low pressure hose,
                              car charger,booster,jump starter,battery tester,power bank,wifi hotspot,grease gun,coupler,auto
                              repair tool,socket wrench,gear ratchet wrench",,,,,,,台中市北區博館路88號11樓之2,404,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,經銷商,貿易商,服務公司,零售商",,-23298326,
消費性電子,,台灣,亞立田股份有限公司,"亞洲,歐洲,北美洲","Wired ; wireless headphones, headsets, speakers, microphones, amplifiers",,"USD 5,000,001 -  10,000,000",2000,,, 101 -  200,台北市中山區樂群二路189號8樓之1,104,"出口商,製造商,原始設備制造商,原始設計制造商"," 新台幣 0 -  1,000,000",+886-2-25327977 EXT 306,--
農產及食品,,,宏正國際事業有限公司,,"Organic wine/natural wine, natural tea from organic/natural
                              farming(i.e. Alishan Oolong/Jinsuan/Black/Green tea,
                              green tea powder, Rooibos tea...), Taiwan refreshments,
                              honey and gift/souvenirs.",,,2008,"HJ, 邁錫尼奧斯 Methymnaeos",,,臺北市信義區基隆路1段176號13樓,110,"出口商,進口商,原始設備制造商,批發商,經銷商,服務公司,零售商",,-22339796,-39815039
汽機車,,,合騏工業股份有限公司,"中東,歐洲,北美洲",scooter.atv.mini car.go-kart.motorcycle e-bike,,,1976,愛得利,, 101 -  200,嘉義縣義竹鄉義竹工業區義工二路2號,62447,"出口商,製造商,原始設備制造商,原始設計制造商,批發商"," 新台幣 >  500,000,000",+886-5-3426621 EXT 126,
運動用品,,,迅揚實業股份有限公司,"美國,中國大陸,日本,南韓,台灣","backpacking cookware
                              camping cooker
                              camping cookware
                              outdoor cookware
                              disposable cooking pot
                              portable  cookware
                              picnic cookware
                              hiking cookware
                              backpacking cookware with lid
                              camping pots and pans
                              camping cookware",,,,,,,桃園市國強一街220號10樓,330,"出口商,製造商",,-29522482,-29522482
醫療及保健,,台灣,凱勛國際股份有限公司 ,"中國大陸,台灣","Milk Powder, Nutritional products, Nutrition & Medical",,"USD 10,000,001 -  50,000,000",2010,,,,屏東縣萬丹鄉萬丹路一段320號,91347,"出口商,進口商,代理商,貿易商",,-7759855,
美容及個人用品,,,麥克森生物科技股份有限公司,"南非,美國,澳大利亞,紐西蘭,中國大陸,香港,日本,馬來西亞,新加坡,泰國,德國,*法國，大都市的,加拿大,沙烏地阿拉伯","skin care, foot care, foot mask, face mask, cosmetics, exfoliating, hand care, facial
                              mask, toner, soother, serum, gel mask, foot peeling",,,1999,妍膚 Nutrient Plus,,,台中市西屯區二段253巷35號2F-2,407,"出口商,製造商,原始設備制造商,原始設計制造商,服務公司,貿易組織",,-26202804,--
機械零件,,台灣,海德門精機股份有限公司,"美國,中國大陸,日本,馬來西亞,泰國,越南,土耳其,俄羅斯聯邦,斯里蘭卡","Solenoid valve、Modular  valve、Check valve、Relief valve、Control valve、Pressure switch、Cartridge
                              valve、Pump",,,,Hidraman,,,新北市淡水區頂田寮路178號,251,"製造商,原始設備制造商",,-86314981,
服飾及配件,,,天裕行有限公司,"中國大陸,香港,印尼,印度,馬來西亞,新加坡,泰國,台灣,越南,土耳其","Textile cleaning guns, cleaning sprays, cleaning solvents, Inkcleaner, stain removers",,,1968,天裕行TENLUXE,,,新北市板橋區民生路二段225號,22050,"出口商,製造商,批發商,零售商",,-22577468,22578353
電機及電子,,,瀚荃股份有限公司,"塞爾維亞,南非,美國,墨西哥,阿根廷,澳大利亞,紐西蘭,中國大陸,香港,印尼,印度,日本,南韓,馬來西亞,巴基斯坦,新加坡,泰國,台灣,土耳其,奧地利,比利時,保加利亞,白俄羅斯,瑞士,德國,丹麥,愛沙尼亞,西班牙,法國,英國,喬治亞,希臘,匈牙利,愛爾蘭,拉脫維亞,荷蘭,挪威,波蘭,羅馬尼亞,俄羅斯聯邦,瑞典,斯洛法尼亞,烏克蘭,加拿大,巴西,菲律賓群島,捷克,芬蘭,義大利,立陶宛","Connector,Cable Assembiles,I.C/Discrete Components,PCBA-EMS;Security Storage,Wireless,Cable
                              Accessories,Mobile Accessories,Power Bank,Safe Power,Virtual Desktop Sofeware",,,1990,CviLux Corporation,," 501 -  1,000",新北市淡水區中正東路一段3巷9號9樓,251,"出口商,製造商,原始設備制造商,原始設計制造商,貿易組織"," 新台幣 100,000,001 -  500,000,000",+886-2-26201000 EXT 853,+886-2-26201000 EXT 853
農產及食品,,,合締生物科技有限公司,中國大陸,PuriMax Cup,,,2013,健力美,,,台北市北投區明德路261號6樓,112,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商,批發商,經銷商,貿易商",,-28217881,--
建材及衛浴設備,,,畫堤生活美學有限公司,"美國,香港,台灣,加拿大",paintings,,,,,,,新北市新店區寶高路108號6樓,23144,出口商,,-22366032,-22366032
機械,,,蕎聯企業有限公司,"美國,日本,德國,法國,冰島,挪威,瑞典,義大利","(1) After Printing Machine:Casi-in Machine,Cover Folding&Cutting Machine,Paper Folding
                              Machine,Book Case Maker Machine.(2) Paper Product:Notebooks,Business Diary,Books of
                              Board Paper.etc.",,,1994,蕎聯,,,新北市新店區北新路二段268號6樓-3,231,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商,貿易商,貿易組織"," 新台幣 1,000,001 -  5,000,000",-29171552,-28772705
農產及食品,,,鍵淮有機股份有限公司,"香港
																			,
																		台灣","A+ growing-up plant milk powder,Optimum Nutrition plant milk",台中市南屯區五權西路三段一巷165-1號,,2003,King Way,,,,408,"原始設備制造商
																			,
																		原始設計制造商
																			,
																		代理商",,-23897373,
醫療及保健,,,宣維實業有限公司,"亞洲,歐洲","Sex Supplies
                              Adult Toys
                              Mould
                              Mold",,,,,,,新北市樹林區三俊街107巷12號,23864,"出口商,製造商,原始設備制造商",,-26892117,--
服飾及配件,,,麗朵國際企業有限公司,"歐洲,美國,澳大利亞,紐西蘭,日本,奧地利,瑞士,德國,西班牙,法國,英國,荷蘭,加拿大,義大利","Hats, Bicycle Parts, Camping Equipment",,,2010,,,,台中市龍井區竹師路一段260巷19弄47號,434,"出口商,製造商,原始設備制造商,原始設計制造商,貿易商",,-26361516,--
紡織及皮革,,,博洲企業有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","Apparel Fabric, Industrial Fabric, Packaging Fabric",,,,,,,臺中市梧棲區港埠路二段459巷30號,435,製造商,,-26566716,--
醫療及保健,,台灣,全新生醫股份有限公司,"亞洲,香港,日本,南韓,馬來西亞,新加坡,台灣",Hydrocolloid dressing - Bandage - footcare pad - Acne pad,,"USD 1,000,001 -  5,000,000",2007,IGIBAN 全新一級絆,,,桃園縣楊梅市青年路6號1樓,326,"製造商,原始設備制造商,原始設計制造商",,+886-3-4642482 EXT 605,+886-3-4642482 EXT 602
鐘錶、珠寶及眼鏡,,,朗色林科技股份有限公司,"亞洲,中東,歐洲,北美洲,中美洲,南美洲,大洋洲",precious stone & synthetic precious stones,,,,朗色林科技股份有限公司,,,台北市中山區南京東路三段208號3樓B室,104,"出口商,貿易商",,-2751159,--
機械,,台灣,川圓科技股份有限公司,"美國,中國大陸,印尼,印度,泰國,越南,加拿大","water mist fire fighting equipment, water mist fire hose reel cabinet, pond aerator,
                              paddle wheel aerator, jet aerator, fish farming aerator, shrimp farming aerator.",新北市汐止區大同路三段196-6號8樓,"USD 1,000,001 -  5,000,000",2000,"AQUASTAR,AQUASPURT",,,,221,"出口商,進口商,製造商",,+886-2-86471818 EXT 105,--
玩具、嬰幼兒及寵物用品,,,橘佑有限公司,"史瓦濟蘭,突尼西亞,美國,墨西哥,巴拿馬,哥倫比亞,秘魯,澳大利亞,中國大陸,香港,印尼,日本,南韓,緬甸,馬來西亞,泰國,越南,阿拉伯聯合大公國,伊朗,奧地利,德國,法國,英國,摩洛哥,荷蘭,衣索比亞,迦納,加拿大,巴西,厄瓜多爾,菲律賓群島,沙烏地阿拉伯,義大利",PET APPLIANCE,,,2015,JUYU,,,台中市沙鹿區自強路175巷118弄2號,433,"出口商,進口商,製造商,貿易商",,-26361640,--
燈光及照明,,台灣,新數位科技股份有限公司,"亞洲,歐洲,北美洲,中美洲,南美洲","T8 tube;LED lighting fixtures;Architectural;Landscape LED lighting products;Outdoor
                              Luminaires;Indoor Luminaires;down light;architectural linear;Architectural flood;Area
                              Floodlights,marker,Lamps,LED rope;LED strip;rigid light bar;torch;flash;marina bulb",,,2005,,,,新竹縣竹北市中華路358號12樓,302,"出口商,製造商,原始設備制造商,原始設計制造商,經銷商",,-5518029,3-5598393
